waktu,id,username,teks
7/13/2022 15:07,1.54724E+18,Muhammad Rafi Yanaputeranto,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/13/2022 15:01,1.54723E+18,Raihan,"b'RT @khalidmeister: Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi data\xe2\x80\xa6'"
7/13/2022 15:00,1.54723E+18,Irfan Khalid,"b'Hello guys, mau sampein lowongan nih. DH Collaborative (perusahaan tempat gua kerja), buka rekrutmen nih buat jadi\xe2\x80\xa6 https://t.co/bsJGlKyzyI'"
7/13/2022 14:25,1.54723E+18,෴,b'asli dah kalo kalian ga mau stress seengganya jangan jadi data scientist atau data analyst \xf0\x9f\x98\x81\xf0\x9f\x98\x81 (a piece of advice)'
7/13/2022 13:58,1.54722E+18,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Data Scientist / Jakarta, Jakarta, Indonesia https://t.co/QMLX1Qp8QG #AI #MachineLearning #DataJobs #Jobsearch #MLj\xe2\x80\xa6'"
7/13/2022 12:16,1.54719E+18,Marcel,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 12:03,1.54719E+18,ai-jobs.net,"b'HIRING: Data Scientist / Jakarta, Jakarta, Indonesia https://t.co/QMLX1Qp8QG #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/KCApdV9gys'"
7/13/2022 11:35,1.54718E+18,opinion'er.,b'RT @AryBandung: Katanya ini peta salah satu jalan cepat kaya \xf0\x9f\x91\x87\n\nKok bisa?\n\nSeorang data scientist memiliki potensi untuk:\n- pekerjaan yg di\xe2\x80\xa6'
7/13/2022 7:36,1.54712E+18,Frontend.LA,"b'#Malvern #jobs #hiring #opportunity @ Saint-Gobain (Malvern, PA) - Data Scientist https://t.co/8uC90pQgPR'"
7/13/2022 7:29,1.54712E+18,MyJobMag Kenya,b'Data Scientist at KCB Bank Kenya https://t.co/0bw8yegVEb'
7/13/2022 6:07,1.5471E+18,Lia Andini,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 6:01,1.5471E+18,.,b'RT @digiskillsarea: Mau siap seleksi kerja dengan excel? Mau berkarir sebagai data analyst/scientist? Yuk ikuti pelatihan di digitalskillsa\xe2\x80\xa6'
7/13/2022 5:29,1.54709E+18,Kinta Petunia,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/13/2022 5:12,1.54709E+18,Dian,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 4:41,1.54708E+18,dopyn🏸|,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 3:59,1.54707E+18,s h a,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 3:34,1.54706E+18,Ary Bandung,b'@tjapoenglaut @ArdySoetjipto @MathGyver4U Yuk pada belajar algoritma dan coding.. ke dpn jd data scientist'
7/13/2022 3:03,1.54705E+18,Rifqi Ilham,b'RT @digital_skola: \xe2\x9c\xa8Rekomendasi Akun INFORMATIF Untuk Data Scientist yang WAJIB Banget Kamu Follow\xe2\x9c\xa8\n\n \xe2\x80\x94A Thread'
7/13/2022 3:03,1.54705E+18,Matcja,"b'RT @worksfess: Work! Gila ya ini aplikasi lengkap bgt\xf0\x9f\x98\xad\xf0\x9f\x99\x8fbuat cari kerja, lamar kerja mudah, banyak kerjaan wfh, ditambah ada kelas gratis yg\xe2\x80\xa6'"
7/13/2022 2:50,1.54705E+18,Digital Skola,b'\xe2\x9c\xa8Rekomendasi Akun INFORMATIF Untuk Data Scientist yang WAJIB Banget Kamu Follow\xe2\x9c\xa8\n\n \xe2\x80\x94A Thread'
7/13/2022 2:46,1.54705E+18,Nurul Latifah,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/13/2022 2:34,1.54705E+18,"Alqori, Arief",b'@TepakBulu @RudyRoedyanto Make tepakbulu as data scientist di PBSI \xf0\x9f\x98\x82'
7/13/2022 2:27,1.54705E+18,cill,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
